LocusTag	CycId
YALI0F29678g	G1FV3-26946-MONOMER
YALI0C20834r	G1FV3-29200-MONOMER
YALI0E24585g	G1FV3-25116-MONOMER
YALI0B19448g	G1FV3-30229-MONOMER
YALI0A09218r	G1FV3-30798-MONOMER
YALI0C01507g	G1FV3-28349-MONOMER
YALI0B09075g	G1FV3-29759-MONOMER
YALI0E11355g	G1FV3-24519-MONOMER
YALI0C09680g	G1FV3-28714-MONOMER
YALI0F07150r	G1FV3-25944-MONOMER
YALI0A11363r	G1FV3-30894-MONOMER
YALI0E31559g	G1FV3-25438-MONOMER
YALI0D02453g	G1FV3-27166-MONOMER
YALI0F16027g	G1FV3-26342-MONOMER
YALI0B18370g	G1FV3-30181-MONOMER
YALI0D21428g	G1FV3-28017-MONOMER
YALI0B15818g	G1FV3-30064-MONOMER
YALI0C08052g	G1FV3-28636-MONOMER
YALI0A01177r	G1FV3-30466-MONOMER
YALI0C04345g	G1FV3-28473-MONOMER
YALI0E31977g	G1FV3-25461-MONOMER
YALI0F29689g	G1FV3-26947-MONOMER
YALI0B11924g	G1FV3-29889-MONOMER
YALI0D06405r	G1FV3-27340-MONOMER
YALI0D09086g	G1FV3-27464-MONOMER
YALI0E03454t	G1FV3-24168-MONOMER
YalifMp18	G1FV3-31332-MONOMER
YALI0E28963g	G1FV3-25317-MONOMER
YALI0D22891g	G1FV3-28082-MONOMER
YALI0D05357g	G1FV3-27292-MONOMER
YALI0C01375g	G1FV3-28342-MONOMER
YALI0E14366g	G1FV3-24655-MONOMER
YALI0E01210g	G1FV3-24066-MONOMER
YALI0D11836g	G1FV3-27594-MONOMER
YALI0E17941g	G1FV3-24814-MONOMER
YALI0C09702g	G1FV3-28715-MONOMER
YALI0B17578r	G1FV3-30146-MONOMER
YALI0A02244g	G1FV3-30511-MONOMER
YALI0E22550g	G1FV3-25019-MONOMER
YALI0E05709g	G1FV3-24270-MONOMER
YALI0D23859g	G1FV3-28127-MONOMER
YALI0D18766g	G1FV3-27895-MONOMER
YALI0E02530g	G1FV3-24127-MONOMER
YALI0C09735g	G1FV3-28716-MONOMER
YALI0C15136g	G1FV3-28947-MONOMER
YALI0C23430g	G1FV3-29323-MONOMER
YALI0D07678g	G1FV3-27399-MONOMER
YALI0A20680g	G1FV3-31279-MONOMER
YALI0E09801g	G1FV3-24448-MONOMER
YALI0C20066g	G1FV3-29167-MONOMER
YALI0F29711g	G1FV3-26948-MONOMER
YALI0F19910g	G1FV3-26519-MONOMER
YALI0E24607g	G1FV3-25117-MONOMER
YALI0A08602r	G1FV3-30772-MONOMER
YALI0E21527g	G1FV3-24974-MONOMER
YALI0C16929g	G1FV3-29029-MONOMER
YALI0B09097r	G1FV3-29760-MONOMER
YALI0D11858g	G1FV3-27595-MONOMER
YALI0B19470g	G1FV3-30230-MONOMER
YALI0B16214g	G1FV3-30082-MONOMER
YALI0F24343g	G1FV3-26716-MONOMER
YALI0E07898g	G1FV3-24361-MONOMER
YALI0E12881g	G1FV3-24591-MONOMER
YALI0F05786g	G1FV3-25877-MONOMER
YALI0F16049g	G1FV3-26343-MONOMER
YALI0B23474g	G1FV3-30414-MONOMER
YALI0B02882g	G1FV3-29494-MONOMER
YALI0F23111g	G1FV3-26661-MONOMER
YALI0B19492g	G1FV3-30231-MONOMER
YALI0B14619g	G1FV3-30008-MONOMER
YALI0B11946g	G1FV3-29890-MONOMER
YALI0C09757g	G1FV3-28717-MONOMER
YALI0B04202g	G1FV3-29547-MONOMER
YALI0F25179g	G1FV3-26752-MONOMER
YALI0E19921g	G1FV3-24903-MONOMER
YALI0B07645g	G1FV3-29700-MONOMER
YALI0F21835g	G1FV3-26606-MONOMER
YALI0E34589t	G1FV3-25587-MONOMER
YALI0E11099g	G1FV3-24508-MONOMER
YALI0C07436g	G1FV3-28610-MONOMER
YALI0C04367g	G1FV3-28474-MONOMER
YALI0F29733r	G1FV3-26949-MONOMER
YALI0F13145g	G1FV3-26209-MONOMER
YALI0D04004g	G1FV3-27230-MONOMER
YALI0E03476g	G1FV3-24169-MONOMER
YALI0E14373t	G1FV3-24656-MONOMER
YALI0D11880g	G1FV3-27596-MONOMER
YALI0E28985g	G1FV3-25318-MONOMER
YALI0F00242g	G1FV3-25623-MONOMER
YALI0C20845r	G1FV3-29201-MONOMER
YALI0D26147g	G1FV3-28229-MONOMER
YALI0D23881g	G1FV3-28128-MONOMER
YALI0A06754r	G1FV3-30694-MONOMER
YALI0F01672g	G1FV3-25688-MONOMER
YALI0E02552g	G1FV3-24128-MONOMER
YALI0E33121g	G1FV3-25516-MONOMER
YALI0F11341g	G1FV3-26127-MONOMER
YALI0E30899g	G1FV3-25406-MONOMER
YALI0A12441g	G1FV3-30938-MONOMER
YALI0F29777r	G1FV3-26950-MONOMER
YALI0F07194g	G1FV3-25945-MONOMER
YALI0F12067g	G1FV3-26161-MONOMER
YALI0F19932r	G1FV3-26520-MONOMER
YALI0E24629g	G1FV3-25118-MONOMER
YALI0F26653g	G1FV3-26819-MONOMER
YALI0C01411g	G1FV3-28344-MONOMER
YALI0A08624g	G1FV3-30773-MONOMER
YALI0A15147g	G1FV3-31042-MONOMER
YALI0D11891g	G1FV3-27597-MONOMER
YALI0A18656g	G1FV3-31192-MONOMER
YALI0C09779g	G1FV3-28718-MONOMER
YalifMp07	G1FV3-31321-MONOMER
YALI0A11407g	G1FV3-30895-MONOMER
YALI0B01276g	G1FV3-29423-MONOMER
YALI0B09108r	G1FV3-29761-MONOMER
YALI0C04389g	G1FV3-28475-MONOMER
YALI0A01221r	G1FV3-30467-MONOMER
YALI0F16071g	G1FV3-26344-MONOMER
YALI0F13959g	G1FV3-26246-MONOMER
YALI0C09801g	G1FV3-28719-MONOMER
YALI0C14388g	G1FV3-28915-MONOMER
YALI0A02288g	G1FV3-30513-MONOMER
YALI0A13321g	G1FV3-30974-MONOMER
YALI0E33539g	G1FV3-25537-MONOMER
YALI0D11924g	G1FV3-27598-MONOMER
YALI0B11968g	G1FV3-29891-MONOMER
YALI0D22905r	G1FV3-28083-MONOMER
YALI0D21450g	G1FV3-28018-MONOMER
YALI0F13475g	G1FV3-26226-MONOMER
YALI0B14641g	G1FV3-30009-MONOMER
YALI0F29821g	G1FV3-26951-MONOMER
YALI0B19514r	G1FV3-30232-MONOMER
YALI0B04224g	G1FV3-29548-MONOMER
YALI0D09119g	G1FV3-27465-MONOMER
