LocusTag	CycId
Lipst1_1_72707	G1IA6-21360-MONOMER
Lipst1_1_70552	G1IA6-19727-MONOMER
Lipst1_1_2214	G1IA6-18713-MONOMER
Lipst1_1_285912	G1IA6-19988-MONOMER
Lipst1_1_75595	G1IA6-23574-MONOMER
Lipst1_1_286028	G1IA6-19989-MONOMER
Lipst1_1_2572	G1IA6-18884-MONOMER
Lipst1_1_75597	G1IA6-23575-MONOMER
Lipst1_1_286084	G1IA6-19990-MONOMER
Lipst1_1_75598	G1IA6-23576-MONOMER
Lipst1_1_104249	G1IA6-19271-MONOMER
Lipst1_1_3964	G1IA6-20659-MONOMER
Lipst1_1_286424	G1IA6-19991-MONOMER
Lipst1_1_257252	G1IA6-18885-MONOMER
Lipst1_1_72710	G1IA6-21361-MONOMER
Lipst1_1_75601	G1IA6-23577-MONOMER
Lipst1_1_286597	G1IA6-19992-MONOMER
Lipst1_1_2575	G1IA6-18886-MONOMER
Lipst1_1_104279	G1IA6-19272-MONOMER
Lipst1_1_286949	G1IA6-19994-MONOMER
Lipst1_1_75616	G1IA6-23579-MONOMER
Lipst1_1_287009	G1IA6-19995-MONOMER
Lipst1_1_75619	G1IA6-23580-MONOMER
Lipst1_1_309156	G1IA6-20578-MONOMER
Lipst1_1_75625	G1IA6-23581-MONOMER
Lipst1_1_72722	G1IA6-21362-MONOMER
Lipst1_1_287176	G1IA6-19997-MONOMER
Lipst1_1_257948	G1IA6-18888-MONOMER
Lipst1_1_87549	G1IA6-23582-MONOMER
Lipst1_1_287194	G1IA6-19998-MONOMER
Lipst1_1_87597	G1IA6-23583-MONOMER
Lipst1_1_287259	G1IA6-19999-MONOMER
Lipst1_1_104340	G1IA6-19275-MONOMER
Lipst1_1_309251	G1IA6-20579-MONOMER
Lipst1_1_87818	G1IA6-23584-MONOMER
Lipst1_1_287300	G1IA6-20000-MONOMER
Lipst1_1_72728	G1IA6-21363-MONOMER
Lipst1_1_87872	G1IA6-23585-MONOMER
Lipst1_1_287747	G1IA6-20001-MONOMER
Lipst1_1_288184	G1IA6-20002-MONOMER
Lipst1_1_99734	G1IA6-23586-MONOMER
Lipst1_1_288185	G1IA6-20003-MONOMER
Lipst1_1_99746	G1IA6-23587-MONOMER
Lipst1_1_258061	G1IA6-18891-MONOMER
Lipst1_1_288266	G1IA6-20004-MONOMER
Lipst1_1_262866	G1IA6-19320-MONOMER
Lipst1_1_99817	G1IA6-23588-MONOMER
Lipst1_1_309293	G1IA6-20580-MONOMER
Lipst1_1_288268	G1IA6-20005-MONOMER
Lipst1_1_72733	G1IA6-21364-MONOMER
Lipst1_1_104354	G1IA6-19278-MONOMER
Lipst1_1_69920	G1IA6-19136-MONOMER
Lipst1_1_288500	G1IA6-20007-MONOMER
Lipst1_1_50559	G1IA6-18969-MONOMER
Lipst1_1_288574	G1IA6-20008-MONOMER
Lipst1_1_309296	G1IA6-20581-MONOMER
Lipst1_1_288702	G1IA6-20009-MONOMER
Lipst1_1_72743	G1IA6-21365-MONOMER
Lipst1_1_288729	G1IA6-20010-MONOMER
Lipst1_1_258250	G1IA6-18894-MONOMER
Lipst1_1_104402	G1IA6-19280-MONOMER
Lipst1_1_288751	G1IA6-20011-MONOMER
Lipst1_1_69800	G1IA6-19107-MONOMER
Lipst1_1_258339	G1IA6-18895-MONOMER
Lipst1_1_50774	G1IA6-18976-MONOMER
Lipst1_1_289621	G1IA6-20013-MONOMER
Lipst1_1_309385	G1IA6-20582-MONOMER
Lipst1_1_71473	G1IA6-20331-MONOMER
Lipst1_1_290084	G1IA6-20014-MONOMER
Lipst1_1_72746	G1IA6-21366-MONOMER
Lipst1_1_26361	G1IA6-18922-MONOMER
Lipst1_1_2054	G1IA6-18667-MONOMER
Lipst1_1_2584	G1IA6-18897-MONOMER
Lipst1_1_276861	G1IA6-19449-MONOMER
Lipst1_1_290448	G1IA6-20017-MONOMER
Lipst1_1_71459	G1IA6-20326-MONOMER
Lipst1_1_70272	G1IA6-19214-MONOMER
Lipst1_1_104446	G1IA6-19283-MONOMER
Lipst1_1_290452	G1IA6-20018-MONOMER
Lipst1_1_72748	G1IA6-21367-MONOMER
Lipst1_1_258798	G1IA6-18898-MONOMER
Lipst1_1_290743	G1IA6-20020-MONOMER
Lipst1_1_104452	G1IA6-19284-MONOMER
Lipst1_1_277900	G1IA6-19929-MONOMER
Lipst1_1_290836	G1IA6-20021-MONOMER
Lipst1_1_110765	G1IA6-19291-MONOMER
Lipst1_1_31221	G1IA6-20584-MONOMER
Lipst1_1_290959	G1IA6-20022-MONOMER
Lipst1_1_104460	G1IA6-19285-MONOMER
Lipst1_1_291095	G1IA6-20023-MONOMER
Lipst1_1_259038	G1IA6-18900-MONOMER
Lipst1_1_291116	G1IA6-20024-MONOMER
Lipst1_1_291158	G1IA6-20025-MONOMER
Lipst1_1_259145	G1IA6-18901-MONOMER
Lipst1_1_291169	G1IA6-20026-MONOMER
Lipst1_1_33088	G1IA6-20585-MONOMER
Lipst1_1_110627	G1IA6-19287-MONOMER
Lipst1_1_2592	G1IA6-18902-MONOMER
Lipst1_1_291194	G1IA6-20027-MONOMER
Lipst1_1_72751	G1IA6-21368-MONOMER
Lipst1_1_110651	G1IA6-19288-MONOMER
Lipst1_1_291319	G1IA6-20028-MONOMER
Lipst1_1_291412	G1IA6-20029-MONOMER
Lipst1_1_259202	G1IA6-18903-MONOMER
Lipst1_1_80312	G1IA6-19237-MONOMER
Lipst1_1_110720	G1IA6-19289-MONOMER
Lipst1_1_337793	G1IA6-20586-MONOMER
Lipst1_1_259322	G1IA6-18904-MONOMER
Lipst1_1_291711	G1IA6-20032-MONOMER
Lipst1_1_110742	G1IA6-19290-MONOMER
Lipst1_1_40213	G1IA6-18957-MONOMER
Lipst1_1_808	G1IA6-17861-MONOMER
Lipst1_1_291737	G1IA6-20033-MONOMER
Lipst1_1_2594	G1IA6-18905-MONOMER
Lipst1_1_3004	G1IA6-19521-MONOMER
Lipst1_1_337959	G1IA6-20587-MONOMER
Lipst1_1_292019	G1IA6-20035-MONOMER
Lipst1_1_2596	G1IA6-18906-MONOMER
Lipst1_1_72756	G1IA6-21369-MONOMER
