,fluxes
SPMDAT1,0.0
GLYAT,0.0
DHFR,0.0005613675814626739
H2CO3D,0.0
SO4t2,0.0
ORNTAC,0.0
PRAIi,0.043191617193733205
LIPATPTm,0.00019059263000302564
G3PD_u9cm,0.0
UDPGALOR,0.0
G1PP,0.0
DSERDHr,0.0
HPYRRx,0.0
FT,0.0
CBPSm,0.0
ACOAR7m,0.0
MG3B,0.0
ACGS,0.0
A1E,0.0
NADHXE,0.0
FORAMDx,0.0
MM2,0.0
MG1B,0.0
TM1819Z1819Z,0.0
CURR,0.0
E4PP,0.0
GUDBUTNAH,0.0
URATEt_1,0.0
MAGAH180,0.0
6MPURt,0.0
RU5PP,0.0
ARHGDx,0.0
MI13456PKn,0.0
PItn,0.0
OXOAEL,0.0
5DKGR,0.0
FACOAE60,0.0
NAMNPP,0.0
GPDDA4,0.0
ECOAH2p,0.0
TRPS2,0.0
MLTP1,0.0
URO,0.0
SERDC,0.0
FE2GTPabc,0.0
DOLASNT,0.0
10FTHFGLULLm,0.0
FE3t,0.00037842482603433054
UA4E,0.0
MAGAH1819Z,0.0
PE1801829Z12Zt,0.0
LIPOSm,0.0
NADPHXD2,0.0
G12MT4,0.0
H2Otp,-0.00023936029683675752
DHORD_u9m,0.0
6TXAN5MPAML,0.0
AGPR,0.0
GMPS,0.005131741452148286
G16MT,0.0
HACD2p,0.0
TGUAPRT,0.0
FACOAE120,0.0
FACOAE160,0.0
ACDO,0.0002433475903514653
I4FE4SRm,0.0
ACOAR2m,0.0
F1PP,0.0
CHOLD,0.0
SPODM,0.0
NH4tp,0.0
PE1819Z1829Z12Zt,0.0
ACPS1,0.0
ECOAH3m,0.0
GLYTLm,0.0
PMI12346PSn,0.0
MG1A,0.0
SERASr,0.0
SPMDAT2,0.0
PE1801819Zt,0.0
TEGAt,0.0
NTPP7,0.0
ACACT3p,0.0
G12MT2,0.0
ACOAD2p,0.0
OCTNLLm,0.0
MG2B,0.0
NADPHXE,0.0
G2PP,0.0
ALCD19,0.0
BTS5m,0.00014832731874712452
BTS_nadph,0.0
ECOAH3p,0.0
NADHHR,0.0
G12MT1,0.0
I2FE2STm,0.00014832731874712452
ACOAR3m,0.0
NADPHHS,0.0
APPTm,0.0
ASNS2,0.011888415586923537
FPGFTm,0.0
G13MT,0.0
2DDARAA,0.0
E4PD,0.0
NTPP8,0.0
FTHFDH,0.012321997516413413
3HPPPNH,0.0
MG2A,0.0
AHGDxm,0.0
GPDDA5,0.0
ACACT2p,0.0
HADPCOADH3,0.0
NADPHHR,0.0
UPLA4FNT,0.0
UDPGLDC,0.0
GCPNn,0.0
MPTSS,0.0
FACOAE141,0.0
ALAR,0.0
CLPNDCRNt,0.0
UDPGP,0.0
HSD17B42x,0.0
CSNAT2m,0.0
MM8Ber,0.0
BACCLm,0.0
FADDP,0.0
NBAHH_ir,0.0
3HXKYNDCL,0.0
HMGCOARr,0.0
AGTim,-5.487990107928137e-12
MELATN23DOX,0.0
ACOAD1m,0.0
ESTRONEGLCt,0.0
SPRMS,0.0
DOLPGT3_Uer,0.0
FPGS,0.0
KATPase,0.0
CRNtim,0.0
